"11","3","216","Holbeck Road","Prima Road","later part Offley Road","","RG 12/403","141-146
"
"11","3","217","Holland Grove","Vassall Road","(part 1 on f174)","","RG 12/403","172-174
"
"11","3","218","Holland Road","Loughborough Road","","1-89 odd","RG 12/406","78-82
"
"11","3","219","Holland Road","Loughborough Road","","16 even","RG 12/406","114, 120
"
"11","3","220","Holland Road","Loughborough Road","","18-128 even","RG 12/406","114-119
"
"11","3","221","Holland Road","Loughborough Road","","2-14 even","RG 12/406","113-114
"
"11","3","222","Holland Road","Loughborough Road","","91-103 odd","RG 12/406","119-120
"
"11","3","223","Holland Road North","Loughborough Road","including Dulwich & Holmwood Villas","","RG 12/406","82-85
"
"11","3","224","Holland Street","Brixton Road","","1-59 odd","RG 12/404","54-56
"
"11","3","225","Holland Street","Brixton Road","","18-62 even","RG 12/404","115-118
"
"11","3","226","Holland Street","Brixton Road","No 10 wrongly entered as Hackford Road","2-16 even","RG 12/404","91-92
"
"11","3","227","Hollis Cottages","part Bentons Lane","","","RG 12/419","47
"
"11","3","228","Holmes Terrace","Waterloo Road","","","RG 12/389","138-140
"
"11","3","229","Holy Trinity Vicarage & School","Carlisle St","","","RG 12/391","125
"
"11","3","230","Homer Street","Hercules Road","demolished for railway","Missing numbers","RG 12/391","125
"
"11","3","231","Homes & Refuges","Meadow Road","","St Peters Home for Aged","RG 12/402","130-137
"
"11","3","232","Hook Cottages","Bond Street","","","RG 12/399","183
"
"11","3","233","Hope Cottages","","later part Walcot Square","","RG 12/393","49
"
"11","3","234","Hope Place","Bird Street","later Longhope Place","","RG 12/393","45-46
"
"11","3","235","Horace Street","Wilcox Road","now contains Wellington Terrace","","RG 12/401","49-55
"
"11","3","236","Horrends Cottages","Pearson Place","","1-3","RG 12/392","93
"
"11","3","237","Horrends Cottages","Pearson Place","","1A","RG 12/392","95
"
"11","3","238","Horrends Cottages","Pearson Place","","4","RG 12/392","95
"
"11","3","239","Horrends Cottages","Pearson Place","","5-9","RG 12/392","93-94
"
"11","3","240","Horsford Road","Brixton Hill","","1-36","RG 12/410","57-59
"
"11","3","241","Horsford Road","Brixton Hill","","37-73 odd","RG 12/410","82-83
"
"11","3","242","Hospitals","51 Waterloo Road","","Womens & Children","RG 12/388","80-81
"
"11","3","243","Hospitals","Albert Embankment","","St Thomas, Hospitals","RG 12/392","153-167
"
"11","3","244","Hospitals","Knights Hill Road","","Jews Hospital and Orphanage","RG 12/419","168-175
"
"11","3","245","Hospitals","Landor Road","","SW Fever","RG 12/416","147-155
"
"11","3","246","Hospitals","York Road","","Lying-in, Hospitals","RG 12/389","40-41
"
"11","3","247","Hotspur Street","Kennington Road","","","RG 12/395","83-87
"
"11","3","248","Howley Place","Belvedere Road","","1-30","RG 12/389","90-93
"
"11","3","249","Howley Place","Belvedere Road","","1A-2A","RG 12/389","93
"
"11","3","250","Howley Street","Tennison Street","","","RG 12/389","105-106
"
"11","3","251","Hubert Grove","Landor Road","","","RG 12/409","36-53
"
"11","3","252","Hunt Street","Glasshouse Street","","","RG 12/397","4-7
"
"11","3","253","Hurley Road","Lower Kennington Lane","part 38 missing after f 165","1-38 part","RG 12/393","160-165
"
"11","3","254","Hurst Street","Dulwich Road","","","RG 12/412","108-113
"
"11","3","255","Idmiston Road","Chatsworth Road","later takes in Buccleugh Road","","RG 12/417","117-118
"
"11","3","256","Industry Terrace","Canterbury Road","","1-5","RG 12/414","41-42
"
"11","3","257","Industry Terrace","Canterbury Road","","18-19","RG 12/414","40
"
"11","3","258","Industry Terrace","Canterbury Road","","6","RG 12/414","40, 42
"
"11","3","259","Industry Terrace","Canterbury Road","","7-17","RG 12/414","42-44
"
"11","3","260","Industry Terrace","Canterbury Road","","Townley Cottages, Industry Terrace","RG 12/414","44
"
"11","3","261","Industry Terrace","Canterbury Road","","Volunteer Public House, Industry Terrace","RG 12/414","40
"
"11","3","262","Ingleborough Place","Ingleborough Street","","","RG 12/405","81
"
"11","3","263","Ingleborough Street","Ingleton Street","","1-13 odd","RG 12/405","79-80
"
"11","3","264","Ingleborough Street","Ingleton Street","","14-16 even","RG 12/407","24
"
"11","3","265","Ingleborough Street","Ingleton Street","","15 odd","RG 12/407","24
"
"11","3","266","Ingleborough Street","Ingleton Street","","2-12 even","RG 12/405","80-81
"
"11","3","267","Ingleton Street","Brixton Road","","","RG 12/405","83-90
"
"11","3","268","Irving Grove","Stockwell Road","","","RG 12/405","126-128
"
"11","3","269","Isabella Cottge","Isabella Street?","","","RG 12/390","80
"
"11","3","270","Isabella Row","Regency Square","","","RG 12/398","48-49
"
"11","3","271","Isabella Street","Oakley Street","","21-43","RG 12/390","75-79
"
"11","3","272","Isabella Street","Oakley Street","later part Tanswell Street","1-19","RG 12/390","68-71
"
"11","3","273","Italian Walk","Goding Street","","","RG 12/397","75-78
"
"11","3","274","Ivan Place","James Street","was Johns Place","","RG 12/403","81
"
"11","3","275","Ivy Cottages","part Elder Road","","","RG 12/418","150
"
