"23","7","1","St Agnes Villas & Vicarage","Kennington Park","","","RG 12/364","4
"
"23","7","257","Tennis Court or Place","Borough High Street","pt later becomes Mermaid Court","","RG 12/344","43
"
"23","7","258","Thanet Cottages","","now pt Anns Row","","","
"
"23","7","259","Theobald Street","New Kent Road","","even numbers","RG 12/353","67-70
"
"23","7","260","Theobald Street","New Kent Road","","odd numbers","RG 12/353","82-85
"
"23","7","261","Thomas Place","Great Suffolk Street","later Caffrey Place MISSING after f 167","","RG 12/346","148
"
"23","7","262","Thomas Place","Walworth Road","later Thobal Place entered as Street Thomas Place","","RG 12/366","57
"
"23","7","263","Thomas Street","Old Kent Road","","","RG 12/345","15-16
"
"23","7","264","Thornton Grove","Farnham Place","","","RG 12/343","19
"
"23","7","265","Thornton Street","South Street","","","RG 12/360","20-24
"
"23","7","266","Three Crane Court","Borough High Street","","","RG 12/342","14
"
"23","7","267","Three Crown Square","Southwark Street","","","RG 12/343","77
"
"23","7","268","Three Tuns Court","109 Borough High Street","","","RG 12/342","8
"
"23","7","269","Thrush Strete","Penton Place","","","RG 12/365","114-123
"
"23","7","270","Thurlow Street","","","1-35 odd","RG 12/359","78-80
"
"23","7","271","Thurlow Street","","","2-20 even","RG 12/359","80-81
"
"23","7","272","Thurlow Street","","","26 even","RG 12/359","83
"
"23","7","273","Thurlow Street","","","2A-24A even","RG 12/359","81-83
"
"23","7","274","Thurlow Street","","","30-86 even","RG 12/359","12-16
"
"23","7","275","Thurlow Street","","","37-95 odd","RG 12/359","16-20
"
"23","7","276","Thurlow Street","East Street","","1A-5A","RG 12/359","77-78
"
"23","7","277","Thurlow Street","William Street","","","RG 12/341","35-37
"
"23","7","278","Tisdell Place","Elsted Street","was Park Row","","RG 12/362","83-87
"
"23","7","279","Tiverton Street","Rockingham Street","","","RG 12/352","73-77
"
"23","7","280","Toulmin Street","Great Suffolk Street","","1-10 consecutive","RG 12/346","99-101
"
"23","7","281","Toulmin Street","Great Suffolk Street","","11-39 odd","RG 12/346","64-66
"
"23","7","282","Toulmin Street","Great Suffolk Street","","12 even","RG 12/346","101
"
"23","7","283","Toulmin Street","Great Suffolk Street","","16-32 even","RG 12/346","66-67
"
"23","7","284","Tower Street","Waterloo Road","","","RG 12/350","52-62
"
"23","7","285","Townley Street","East Street","","1-11 odd","RG 12/362","130-131
"
"23","7","286","Townley Street","East Street","","even numbers","RG 12/362","126-128
"
"23","7","287","Townley Street","East Street","28 & 30 also on f 128","11-49 odd","RG 12/362","128-130
"
"23","7","288","Townsend Buildings","Townsend Street","empty","","RG 12/345","139
"
"23","7","289","Townsend Street","Old Kent Road","","","RG 12/345","132-139
"
"23","7","290","Townsend Yard","Union Street","","","RG 12/342","36-38
"
"23","7","291","Trafalgar House","Little Trafalgar Place","","","RG 12/353","117
"
"23","7","292","Trafalgar Street","Walworth Road","","1-95 odd","RG 12/361","73-79
"
"23","7","293","Trafalgar Street","Walworth Road","","122-166 even","RG 12/360","7-9
"
"23","7","294","Trafalgar Street","Walworth Road","","168 even","RG 12/360","9-10, 40
"
"23","7","295","Trafalgar Street","Walworth Road","","170-206 even","RG 12/360","10-12
"
"23","7","296","Trafalgar Street","Walworth Road","","2-120 even","RG 12/361","80-87
"
"23","7","297","Trafalgar Street","Walworth Road","","97-187 odd","RG 12/359","97-100
"
"23","7","298","Triangle Cottage","King & Queen Street","","","RG 12/363","7
"
"23","7","299","Trinity Buildings","Mermaid Court","","","RG 12/344","46-48
"
"23","7","300","Trinity House","Bath Terrace","","","RG 12/353","6-8
"
"23","7","301","Trinity Mews","Brockham Street","","","RG 12/352","40
"
"23","7","302","Trinity Place","Globe Street","demolished","","RG 12/351","112
"
"23","7","303","Trinity Place","Trinity Street","","1-4","RG 12/352","60
"
"23","7","304","Trinity Place","Trinity Street","","1A","RG 12/352","60, 63
"
"23","7","305","Trinity Place","Trinity Street","","5","RG 12/352","61
"
"23","7","306","Trinity Place","Trinity Street","","6","RG 12/352","61
"
"23","7","307","Trinity Square","","","20","RG 12/352","51, 62
"
"23","7","308","Trinity Square","","","21-22","RG 12/352","51-52
"
"23","7","309","Trinity Square","","","23-44","RG 12/352","19-21
"
"23","7","310","Trinity Square","","","45-65","RG 12/351","115-118
"
"23","7","311","Trinity Square","Trinity Street","","1-19","RG 12/352","49-51
"
"23","7","312","Trinity Street","Borough High Street","","1-23 odd","RG 12/.352","11-12
"
"23","7","313","Trinity Street","Borough High Street","","14-16 even","RG 12/352","62
"
"23","7","314","Trinity Street","Borough High Street","","2-12 even","RG 12/352","59-60
"
"23","7","315","Trinity Street","Borough High Street","","20 even","RG 12/352","21
"
"23","7","316","Trinity Street","Borough High Street","","22-32 even","RG 12/352","25-26
"
"23","7","317","Trinity Street","Borough High Street","","25-71 odd","RG 12/351","118-121
"
"23","7","318","Trinity Street","Borough High Street","","Picton House & Cottage, Trinity Street","RG 12/352","21-22
"
"23","7","319","Trinity Street","Borough High Street","","Rectory, Trinity Street","RG 12/352","24
"
"23","7","320","Turquand Street","York Street","","","RG 12/367","125-127
"
