hisco3,hisco,title3,title5
875,87590,Ship and boat construction workers,Other ship builders
875,87590,Ship and boat construction workers,Other ship builders
875,87590,Ship and boat construction workers,Other ship builders
875,87590,Ship and boat construction workers,Other ship builders
875,87590,Ship and boat construction workers,Other ship builders
972,97220,Riggers and cable splicers,Ship riggers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
799,79920,Cloth and related product manufacturing workers nec,"Sail, tent and awning makers"
813,81300,"Coach, carriage, cart and wagon makers","Coach, carriage, cart and wagon makers"
813,81300,"Coach, carriage, cart and wagon makers","Coach, carriage, cart and wagon makers"
843,84300,Bicycle manufacturing workers,Bicycle makers
844,84400,Motor vehicle manufacturing and repair workers,"Motor vehicle manufacturing and repair workers, specialization unknown"
844,84460,Motor vehicle manufacturing and repair workers,Automobile manufacturing workers
813,81300,"Coach, carriage, cart and wagon makers","Coach, carriage, cart and wagon makers"
814,81400,Wheelwrights,Wheelwright
813,81300,"Coach, carriage, cart and wagon makers","Coach, carriage, cart and wagon makers"
949,94990,Other production and related workers,Production and related workers nec
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
880,88020,Jewellery and precious metal workers,Jeweller
880,88050,Jewellery and precious metal workers,Working with gems and stones
880,,Jewellery and precious metal workers,
880,,Jewellery and precious metal workers,
842,84220,"Watch, clock and precision instrument manufacturing workers",Watch and clock makers
842,84290,"Watch, clock and precision instrument manufacturing workers",Other specialized instrument makers (not musical instruments)
842,84290,"Watch, clock and precision instrument manufacturing workers",Other specialized instrument makers (not musical instruments)
842,84290,"Watch, clock and precision instrument manufacturing workers",Other specialized instrument makers (not musical instruments)
842,84290,"Watch, clock and precision instrument manufacturing workers",Other specialized instrument makers (not musical instruments)
842,84290,"Watch, clock and precision instrument manufacturing workers",Other specialized instrument makers (not musical instruments)
842,84290,"Watch, clock and precision instrument manufacturing workers",Other specialized instrument makers (not musical instruments)
941,94120,Musical instrument manufacturing workers,Piano makers
941,94190,Musical instrument manufacturing workers,Other musical instrument makers and tuners
949,94940,Other production and related workers,Toy (and doll) makers
949,94990,Other production and related workers,Production and related workers nec
949,94940,Other production and related workers,Toy (and doll) makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
949,94940,Other production and related workers,Toy (and doll) makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
212,21230,Contractors and builders,Builders
953,95330,Roofers,Thatchers
959,95910,Building construction workers nec,Construction workers nec
974,97410,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Navvy, excavator and digger nfs"
954,95410,"Carpenters, joiners and parquetry workers",Carpenter and joiner
954,95420,"Carpenters, joiners and parquetry workers",Carpenter
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
951,95120,"Bricklayers, stonemasons and tile setters",Bricklayer
951,95120,"Bricklayers, stonemasons and tile setters",Bricklayer
951,95110,"Bricklayers, stonemasons and tile setters",Mason nfs
951,95110,"Bricklayers, stonemasons and tile setters",Mason nfs
953,95320,Roofers,Slate and tile roofers
951,95140,"Bricklayers, stonemasons and tile setters",Plasterer
951,95140,"Bricklayers, stonemasons and tile setters",Plasterer
959,95940,Building construction workers nec,Whitewasher
959,95920,Building construction workers nec,Paperhanger
931,93120,Painting workers,"Painters, construction"
957,95700,Glaziers,Glazier
161,16120,Visual artists and art teachers,Sculptors
951,95130,"Bricklayers, stonemasons and tile setters",Stone masons
871,,Plumbers and pipe fitting workers,
871,87130,Plumbers and pipe fitting workers,Pipe fitters
837,83700,Lock and key manufacturing workers,Locksmith
212,21220,Contractors and builders,Construction contractors
212,21290,Contractors and builders,Other specified contractors
974,97490,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Other road, railway and related construction labourers"
974,97440,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Waterway and harbour builders, workers and labourers"
974,97490,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Other road, railway and related construction labourers"
713,71300,"Well-drillers, borers and related workers","Well-drillers, borers or related worker"
212,21290,Contractors and builders,Other specified contractors
951,95150,"Bricklayers, stonemasons and tile setters",Pavior
974,97490,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Other road, railway and related construction labourers"
811,81120,"Cabinet, furniture and chair makers",Cabinet makers
811,81190,"Cabinet, furniture and chair makers",Other furniture makers
931,93190,Painting workers,Other specialized painters nec
796,79620,Upholsterers and related workers,Upholsterers
871,87120,Plumbers and pipe fitting workers,Plumbers
838,83890,Metal product manufacturing workers nec ,Other metal workers nec
841,84130,"Mechanics, millwrights and machine manufacturing workers","Machine makers, builders and fitters"
592,59200,Undertakers and embalmers,Undertakers and embalmers
812,81250,Woodworkers and woodwork manufacturing workers nec,Wood carvers
934,93400,Gilders,Gilders
942,94290,"Straw, wicker, bristle and related manufacturing workers",Bristle and straw workers nec
942,94290,"Straw, wicker, bristle and related manufacturing workers",Bristle and straw workers nec
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
732,73200,"Sawyer, and other titled wood/sawmill operatives","Sawyer, and other titled wood/sawmill operatives"
819,81990,Wooden product manufacturing workers nec,Other makers of wooden products
812,81230,Woodworkers and woodwork manufacturing workers nec,Wood turners and handle makers
817,81710,Wooden and paper box manufacturing workers,Box makers nfs
815,81500,Cooperage and related manufacturing workers,"Coopers, hoop makers and benders"
632,63290,"Forestry workers, except logging",Other forestry workers
631,63120,Logging workers and wood cutters,"Lumbermen, loggers and kindred workers"
942,94240,"Straw, wicker, bristle and related manufacturing workers",Broom makers
819,81990,Wooden product manufacturing workers nec,Other makers of wooden products
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
893,89300,Brick and tile manufacturing workers,Brick and tile makers
896,89620,"Lime, plaster and cement manufacturing workers",Cement makers
892,89200,Pottery and porcelain manufacturing workers,Pottery and porcelain makers and workers 
892,89200,Pottery and porcelain manufacturing workers,Pottery and porcelain makers and workers 
891,89120,Glass manufacturing workers,Glass makers
891,89130,Glass manufacturing workers,Glass bottle makers
891,89120,Glass manufacturing workers,Glass makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
